ID,taxonID,binomial,habitat,importance,season,suitability,class_id,habitat_2,responseClass
67904,103657721,Thamnophilus ruficapillus,Shrubland - Subtropical/Tropical Moist,Yes,resident,Suitable,306,Shrubland - Subtropical/Tropical Moist,NHS
69933,103657721,Thamnophilus ruficapillus,Shrubland - Subtropical/Tropical High Altitude,No,resident,Suitable,307,Shrubland - Subtropical/Tropical High Altitude,NHS
21629,103658606,Cercomacroides nigrescens,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
24745,103658606,Cercomacroides nigrescens,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
33407,103658606,Cercomacroides nigrescens,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
45501,103658606,Cercomacroides nigrescens,Artificial/Terrestrial - Plantations,No,resident,Suitable,1403,Artificial/Terrestrial - Plantations,NHS
51747,103658606,Cercomacroides nigrescens,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
67908,103658606,Cercomacroides nigrescens,Shrubland - Subtropical/Tropical Moist,No,resident,Suitable,306,Shrubland - Subtropical/Tropical Moist,NHS
84393,103658606,Cercomacroides nigrescens,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,resident,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),NHS
21634,103658813,Willisornis poecilinotus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
24747,103658813,Willisornis poecilinotus,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,FS
21640,103660209,Myrmornis torquata,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
21643,103660322,Conopophaga aurita,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
21644,103660326,Conopophaga snethlageae,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
21647,103661243,Formicarius analis,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
24749,103661243,Formicarius analis,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,FS
33425,103661243,Formicarius analis,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,FS
21649,103661252,Sclerurus scansor,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
33427,103661252,Sclerurus scansor,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,FS
9759,103661265,Deconychura pallida,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,FS
21652,103661265,Deconychura pallida,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
24752,103661265,Deconychura pallida,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,FS
33430,103661265,Deconychura pallida,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,FS
9761,103661274,Sittasomus griseicapillus,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21654,103661274,Sittasomus griseicapillus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
23507,103661274,Sittasomus griseicapillus,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,resident,Suitable,107,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,NHS
24754,103661274,Sittasomus griseicapillus,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
33432,103661274,Sittasomus griseicapillus,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
45507,103661274,Sittasomus griseicapillus,Artificial/Terrestrial - Plantations,No,resident,Suitable,1403,Artificial/Terrestrial - Plantations,NHS
51757,103661274,Sittasomus griseicapillus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
57883,103661274,Sittasomus griseicapillus,Savanna - Dry,No,resident,Suitable,201,Savanna - Dry,NHS
65431,103661274,Sittasomus griseicapillus,Shrubland - Subtropical/Tropical Dry,No,resident,Suitable,305,Shrubland - Subtropical/Tropical Dry,NHS
9764,103661301,Hylexetastes perrotii,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,FS
21658,103661301,Hylexetastes perrotii,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
24757,103661301,Hylexetastes perrotii,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,FS
9765,103669772,Xiphorhynchus fuscus,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21659,103669772,Xiphorhynchus fuscus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
33436,103669772,Xiphorhynchus fuscus,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
47671,103669772,Xiphorhynchus fuscus,Artificial/Terrestrial - Rural Gardens,No,resident,Suitable,1404,Artificial/Terrestrial - Rural Gardens,NHS
51760,103669772,Xiphorhynchus fuscus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
9767,103669826,Xiphorhynchus ocellatus,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21661,103669826,Xiphorhynchus ocellatus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
24758,103669826,Xiphorhynchus ocellatus,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
51762,103669826,Xiphorhynchus ocellatus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
9770,103670045,Xiphorhynchus guttatus,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21664,103670045,Xiphorhynchus guttatus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
23510,103670045,Xiphorhynchus guttatus,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,resident,Suitable,107,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,NHS
24761,103670045,Xiphorhynchus guttatus,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
33438,103670045,Xiphorhynchus guttatus,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
45511,103670045,Xiphorhynchus guttatus,Artificial/Terrestrial - Plantations,No,resident,Suitable,1403,Artificial/Terrestrial - Plantations,NHS
51765,103670045,Xiphorhynchus guttatus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
57885,103670045,Xiphorhynchus guttatus,Savanna - Dry,No,resident,Suitable,201,Savanna - Dry,NHS
9771,103670131,Xiphorhynchus guttatoides,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21665,103670131,Xiphorhynchus guttatoides,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
23511,103670131,Xiphorhynchus guttatoides,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,No,resident,Suitable,107,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,NHS
24762,103670131,Xiphorhynchus guttatoides,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,NHS
33439,103670131,Xiphorhynchus guttatoides,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,NHS
45512,103670131,Xiphorhynchus guttatoides,Artificial/Terrestrial - Plantations,No,resident,Suitable,1403,Artificial/Terrestrial - Plantations,NHS
51766,103670131,Xiphorhynchus guttatoides,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
57886,103670131,Xiphorhynchus guttatoides,Savanna - Dry,No,resident,Suitable,201,Savanna - Dry,NHS
21668,103670311,Campylorhamphus procurvoides,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
21671,103670471,Lepidocolaptes albolineatus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,MCU
24763,103670471,Lepidocolaptes albolineatus,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,MCU
33442,103670471,Lepidocolaptes albolineatus,Forest - Subtropical/Tropical Moist Montane,NA,resident,Marginal,109,Forest - Subtropical/Tropical Moist Montane,MCU
45515,103670471,Lepidocolaptes albolineatus,Artificial/Terrestrial - Plantations,No,resident,Suitable,1403,Artificial/Terrestrial - Plantations,MCU
51769,103670471,Lepidocolaptes albolineatus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,MCU
21672,103670608,Lepidocolaptes duidae,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,MCU
24764,103670608,Lepidocolaptes duidae,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,MCU
33443,103670608,Lepidocolaptes duidae,Forest - Subtropical/Tropical Moist Montane,NA,resident,Marginal,109,Forest - Subtropical/Tropical Moist Montane,MCU
45516,103670608,Lepidocolaptes duidae,Artificial/Terrestrial - Plantations,No,resident,Suitable,1403,Artificial/Terrestrial - Plantations,MCU
51770,103670608,Lepidocolaptes duidae,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,MCU
21673,103670637,Lepidocolaptes fuscicapillus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,MCU
24765,103670637,Lepidocolaptes fuscicapillus,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,MCU
33444,103670637,Lepidocolaptes fuscicapillus,Forest - Subtropical/Tropical Moist Montane,NA,resident,Marginal,109,Forest - Subtropical/Tropical Moist Montane,MCU
45517,103670637,Lepidocolaptes fuscicapillus,Artificial/Terrestrial - Plantations,No,resident,Suitable,1403,Artificial/Terrestrial - Plantations,MCU
51771,103670637,Lepidocolaptes fuscicapillus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,MCU
21674,103670702,Lepidocolaptes fatimalimae,Forest - Subtropical/Tropical Moist Lowland,Yes,NA,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
9774,103670750,Xenops minutus,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,FS
21675,103670750,Xenops minutus,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
24766,103670750,Xenops minutus,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,FS
33447,103670750,Xenops minutus,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,FS
9775,103670758,Xenops genibarbis,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,FS
21676,103670758,Xenops genibarbis,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
24767,103670758,Xenops genibarbis,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,FS
33448,103670758,Xenops genibarbis,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,FS
21679,103670881,Furnarius leucopus,Forest - Subtropical/Tropical Moist Lowland,No,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,RCU
24770,103670881,Furnarius leucopus,Forest - Subtropical/Tropical Swamp,No,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,RCU
41760,103670881,Furnarius leucopus,Artificial/Terrestrial - Arable Land,No,resident,Suitable,1401,Artificial/Terrestrial - Arable Land,RCU
43433,103670881,Furnarius leucopus,Artificial/Terrestrial - Pastureland,No,resident,Suitable,1402,Artificial/Terrestrial - Pastureland,RCU
49359,103670881,Furnarius leucopus,Artificial/Terrestrial - Urban Areas,No,resident,Suitable,1405,Artificial/Terrestrial - Urban Areas,RCU
51776,103670881,Furnarius leucopus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,RCU
67912,103670881,Furnarius leucopus,Shrubland - Subtropical/Tropical Moist,Yes,resident,Suitable,306,Shrubland - Subtropical/Tropical Moist,RCU
84399,103670881,Furnarius leucopus,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,resident,Suitable,501,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),RCU
21681,103671013,Cichlocolaptes holti,Forest - Subtropical/Tropical Moist Lowland,Yes,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
33450,103671013,Cichlocolaptes holti,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,FS
21682,103672218,Automolus subulatus,Forest - Subtropical/Tropical Moist Lowland,No,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,FS
24771,103672218,Automolus subulatus,Forest - Subtropical/Tropical Swamp,Yes,resident,Suitable,108,Forest - Subtropical/Tropical Swamp,FS
33452,103672218,Automolus subulatus,Forest - Subtropical/Tropical Moist Montane,No,resident,Suitable,109,Forest - Subtropical/Tropical Moist Montane,FS
9782,103672742,Phacellodomus rufifrons,Forest - Subtropical/Tropical Dry,No,resident,Suitable,105,Forest - Subtropical/Tropical Dry,NHS
21684,103672742,Phacellodomus rufifrons,Forest - Subtropical/Tropical Moist Lowland,No,resident,Suitable,106,Forest - Subtropical/Tropical Moist Lowland,NHS
51777,103672742,Phacellodomus rufifrons,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,No,resident,Suitable,1406,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,NHS
57887,103672742,Phacellodomus rufifrons,Savanna - Dry,No,resident,Suitable,201,Savanna - Dry,NHS
58700,103672742,Phacellodomus rufifrons,Savanna - Moist,No,resident,Suitable,202,Savanna - Moist,NHS
65439,103672742,Phacellodomus rufifrons,Shrubland - Subtropical/Tropical Dry,No,resident,Suitable,305,Shrubland - Subtropical/Tropical Dry,NHS
69949,103672742,Phacellodomus rufifrons,Shrubland - Subtropical/Tropical High Altitude,No,resident,Suitable,307,Shrubland - Subtropical/Tropical High Altitude,NHS
